City,State,2010 Population,Website
Monroe,Louisiana,"48,815",
Alexandria,Louisiana,"47,723",
Houma,Louisiana,"33,727",
Marrero,Louisiana,"33,141",
New Iberia,Louisiana,"30,617",
Portland,Maine,"66,194",
Lewiston,Maine,"36,592",
Bangor,Maine,"33,039",
Baltimore,Maryland,"620,961",
Columbia,Maryland,"99,615",
Germantown,Maryland,"86,395",
Silver Spring,Maryland,"71,452",
Waldorf,Maryland,"67,752",
Glen Burnie,Maryland,"67,639",
Ellicott,Maryland,"65,834",
Frederick,Maryland,"65,239",
Dundalk,Maryland,"63,597",
Rockville,Maryland,"61,209",
Bethesda,Maryland,"60,858",
Gaithersburg,Maryland,"59,933",
Towson,Maryland,"55,197",
Bowie,Maryland,"54,727",
Aspen Hill,Maryland,"48,759",
Wheaton,Maryland,"48,284",
Bel Air South,Maryland,"47,709",
Potomac,Maryland,"44,965",
Severn,Maryland,"44,231",
North Bethesda,Maryland,"43,828",
Catonsville,Maryland,"41,567",
Hagerstown,Maryland,"39,662",
Essex,Maryland,"39,262",
Annapolis,Maryland,"38,394",
Woodlawn,Maryland,"37,879",
Severna Park,Maryland,"37,634",
Odenton,Maryland,"37,132",
Clinton,Maryland,"35,970",
Olney,Maryland,"33,844",
Chillum,Maryland,"33,513",
Randallstown,Maryland,"32,430",
Montgomery Village,Maryland,"32,032",
Pikesville,Maryland,"30,764",
Parkville,Maryland,"30,734",
Owings Mills,Maryland,"30,622",
Bel Air North,Maryland,"30,568",
Eldersburg,Maryland,"30,531",
College Park,Maryland,"30,413",
Salisbury,Maryland,"30,343",
Boston,Massachusetts,"617,594",
Worcester,Massachusetts,"181,045",
Springfield,Massachusetts,"153,060",
Lowell,Massachusetts,"106,519",
Cambridge,Massachusetts,"105,162",
New Bedford,Massachusetts,"95,072",
Brockton,Massachusetts,"93,810",
Quincy,Massachusetts,"92,271",
Lynn,Massachusetts,"90,329",
Fall River,Massachusetts,"88,857",
Newton,Massachusetts,"85,146",
Lawrence,Massachusetts,"76,377",
Somerville,Massachusetts,"75,754",
Framingham,Massachusetts,"68,318",
Haverhill,Massachusetts,"60,879",
Waltham,Massachusetts,"60,632",
Malden,Massachusetts,"59,450",
Brookline,Massachusetts,"58,732",
Medford,Massachusetts,"56,173",
Taunton,Massachusetts,"55,874",
Chicopee,Massachusetts,"55,298",
Weymouth,Massachusetts,"53,743",
Revere,Massachusetts,"51,755",
Peabody,Massachusetts,"51,251",
Methuen,Massachusetts,"47,255",
Barnstable,Massachusetts,"45,193",
Pittsfield,Massachusetts,"44,737",
Attleboro,Massachusetts,"43,593",
Arlington,Massachusetts,"42,844",
Everett,Massachusetts,"41,667",
Salem,Massachusetts,"41,340",
Westfield,Massachusetts,"41,094",
Leominster,Massachusetts,"40,759",
Fitchburg,Massachusetts,"40,318",
Holyoke,Massachusetts,"39,880",
Beverly,Massachusetts,"39,502",
Marlborough,Massachusetts,"38,499",
Woburn,Massachusetts,"38,120",
Braintree,Massachusetts,"35,744",
Chelsea,Massachusetts,"35,177",
Randolph,Massachusetts,"32,112",
Watertown,Massachusetts,"31,915",
Franklin,Massachusetts,"31,635",
Lexington,Massachusetts,"31,394",
Detroit,Michigan,"713,777",
Grand Rapids,Michigan,"188,040",
Warren,Michigan,"134,056",
Sterling Heights,Michigan,"129,699",
Lansing,Michigan,"114,297",
Ann Arbor,Michigan,"113,934",
Flint,Michigan,"102,434",
Dearborn,Michigan,"98,153",
Livonia,Michigan,"96,942",
Westland,Michigan,"84,094",
Troy,Michigan,"80,980",
Farmington Hills,Michigan,"79,740",
Kalamazoo,Michigan,"74,262",
Wyoming,Michigan,"72,125",
Southfield,Michigan,"71,739",
Rochester Hills,Michigan,"70,995",
Taylor,Michigan,"63,131",
St. Clair Shores,Michigan,"59,715",
Pontiac,Michigan,"59,515",
Dearborn Heights,Michigan,"57,774",
Royal Oak,Michigan,"57,236",
Novi,Michigan,"55,224",
Battle Creek,Michigan,"52,347",
Saginaw,Michigan,"51,508",
Kentwood,Michigan,"48,707",
East Lansing,Michigan,"48,579",
Roseville,Michigan,"47,299",
Portage,Michigan,"46,292",
Midland,Michigan,"41,863",
Muskegon,Michigan,"38,401",
Lincoln Park,Michigan,"38,144",
Bay City,Michigan,"34,932",
Jackson,Michigan,"33,534",
Holland,Michigan,"33,051",
Eastpointe,Michigan,"32,442",
Port Huron,Michigan,"30,184",
Southgate,Michigan,"30,047",
Minneapolis,Minnesota,"382,578",
St. Paul,Minnesota,"285,068",
Rochester,Minnesota,"106,769",
Duluth,Minnesota,"86,265",
Bloomington,Minnesota,"82,893",
Brooklyn Park,Minnesota,"75,781",
Plymouth,Minnesota,"70,576",
St. Cloud,Minnesota,"65,842",
Eagan,Minnesota,"64,206",
Woodbury,Minnesota,"61,961",
Maple Grove,Minnesota,"61,567",
Coon Rapids,Minnesota,"61,476",
Eden Prairie,Minnesota,"60,797",
Burnsville,Minnesota,"60,306",
Blaine,Minnesota,"57,186",
Lakeville,Minnesota,"55,954",
Minnetonka,Minnesota,"49,734",
Apple Valley,Minnesota,"49,084",
Edina,Minnesota,"47,941",
St. Louis Park,Minnesota,"45,250",
Mankato,Minnesota,"39,309",
Moorhead,Minnesota,"38,065",
Maplewood,Minnesota,"38,018",
Shakopee,Minnesota,"37,076",
Richfield,Minnesota,"35,228",
Cottage Grove,Minnesota,"34,589",
Inver Grove Heights,Minnesota,"33,880",
Roseville,Minnesota,"33,660",
Andover,Minnesota,"30,598",
Brooklyn Center,Minnesota,"30,104",
Jackson,Mississippi,"173,514",
Gulfport,Mississippi,"67,793",
Southaven,Mississippi,"48,982",
Hattiesburg,Mississippi,"45,989",
Biloxi,Mississippi,"44,054",
Meridian,Mississippi,"41,148",
Tupelo,Mississippi,"34,546",
Greenville,Mississippi,"34,400",
Olive Branch,Mississippi,"33,484",
Kansas City,Missouri,"459,787",
St. Louis,Missouri,"319,294",
Springfield,Missouri,"159,498",
Independence,Missouri,"116,830",
Columbia,Missouri,"108,500",
Lee's Summit,Missouri,"91,364",
O'Fallon,Missouri,"79,329",
St. Joseph,Missouri,"76,780",
St. Charles,Missouri,"65,794",
Blue Springs,Missouri,"52,575",
St. Peters,Missouri,"52,575",
Florissant,Missouri,"52,158",
Joplin,Missouri,"50,150",
Chesterfield,Missouri,"47,484",
Jefferson City,Missouri,"43,079",
Cape Girardeau,Missouri,"37,941",
Oakville,Missouri,"36,143",
Wildwood,Missouri,"35,517",
University City,Missouri,"35,371",
Ballwin,Missouri,"30,404",
Billings,Montana,"104,170",
Missoula,Montana,"66,788",
Great Falls,Montana,"58,505",
Bozeman,Montana,"37,280",
Butte,Montana,"33,525",
Omaha,Nebraska,"408,958",
Lincoln,Nebraska,"258,379",
Bellevue,Nebraska,"50,137",
Grand Island,Nebraska,"48,520",
Kearney,Nebraska,"30,787",
Las Vegas,Nevada,"583,756",
Henderson,Nevada,"257,729",
Reno,Nevada,"225,221",
Paradise,Nevada,"223,167",
North Las Vegas,Nevada,"216,961",
Sunrise Manor,Nevada,"189,372",
Spring Valley,Nevada,"178,395",
Enterprise,Nevada,"108,481",
Sparks,Nevada,"90,264",
Carson,Nevada,"55,274",
Whitney,Nevada,"38,585",
Pahrump,Nevada,"36,441",
Manchester,New Hampshire,"109,565",
Nashua,New Hampshire,"86,494",
Concord,New Hampshire,"42,695",
Newark,New Jersey,"277,140",
Jersey City,New Jersey,"247,597",
Paterson,New Jersey,"146,199",
Elizabeth,New Jersey,"124,969",
Toms River,New Jersey,"88,791",
Trenton,New Jersey,"84,913",
Clifton,New Jersey,"84,136",
Camden,New Jersey,"77,344",
Passaic,New Jersey,"69,781",
Union City,New Jersey,"66,455",
East Orange,New Jersey,"64,270",
Bayonne,New Jersey,"63,024",
Vineland,New Jersey,"60,724",
New Brunswick,New Jersey,"55,181",
Lakewood,New Jersey,"53,805",
Perth Amboy,New Jersey,"50,814",
Hoboken,New Jersey,"50,005",
Plainfield,New Jersey,"49,808",
West New York,New Jersey,"49,708",
Hackensack,New Jersey,"43,010",
Sayreville,New Jersey,"42,704",
Kearny,New Jersey,"40,684",
Linden,New Jersey,"40,499",
Atlantic City,New Jersey,"39,558",
Fort Lee,New Jersey,"35,345",
Fair Lawn,New Jersey,"32,457",
Long Branch,New Jersey,"30,719",
Garfield,New Jersey,"30,487",
Westfield,New Jersey,"30,316",
Albuquerque,New Mexico,"545,852",
Las Cruces,New Mexico,"97,618",
Rio Rancho,New Mexico,"87,521",
Santa Fe,New Mexico,"67,947",
Roswell,New Mexico,"48,366",
Farmington,New Mexico,"45,877",
South Valley,New Mexico,"40,976",
Clovis,New Mexico,"37,775",
Hobbs,New Mexico,"34,122",
Alamogordo,New Mexico,"30,403",
New York,New York,"8,175,133",
Buffalo,New York,"261,310",
Rochester,New York,"210,565",
Yonkers,New York,"195,976",
Syracuse,New York,"145,170",
Albany,New York,"97,856",
New Rochelle,New York,"77,062",
Cheektowaga,New York,"75,178",
Mount Vernon,New York,"67,292",
Schenectady,New York,"66,135",
Utica,New York,"62,235",
Brentwood,New York,"60,664",
Tonawanda,New York,"58,144",
White Plains,New York,"56,853",
Hempstead,New York,"53,891",
Levittown,New York,"51,881",
Irondequoit,New York,"51,692",
Niagara Falls,New York,"50,193",
Troy,New York,"50,129",
Binghamton,New York,"47,376",
West Seneca,New York,"44,711",
West Babylon,New York,"43,213",
Freeport,New York,"42,860",
Hicksville,New York,"41,547",
Coram,New York,"39,113",
East Meadow,New York,"38,132",
Valley Stream,New York,"37,511",
Brighton,New York,"36,609",
Commack,New York,"36,124",
Central Islip,New York,"34,450",
Rome,New York,"33,725",
New,New York,"33,559",
Long Beach,New York,"33,275",
Elmont,New York,"33,198",
Huntington Station,New York,"33,029",
Poughkeepsie,New York,"32,736",
Oceanside,New York,"32,109",
Centereach,New York,"31,578",
North Tonawanda,New York,"31,568",
Spring Valley,New York,"31,347",
Jamestown,New York,"31,146",
Ithaca,New York,"30,014",
Charlotte,North Carolina,"731,424",
Raleigh,North Carolina,"403,892",
Greensboro,North Carolina,"269,666",
Winston-Salem,North Carolina,"229,617",
Durham,North Carolina,"228,330",
Fayetteville,North Carolina,"200,564",
Cary,North Carolina,"135,234",
Wilmington,North Carolina,"106,476",
High Point,North Carolina,"104,371",
Greenville,North Carolina,"84,554",
Asheville,North Carolina,"83,393",
Concord,North Carolina,"79,066",
Gastonia,North Carolina,"71,741",
Jacksonville,North Carolina,"70,145",
Rocky Mount,North Carolina,"57,477",
Chapel Hill,North Carolina,"57,233",
Burlington,North Carolina,"49,963",
Wilson,North Carolina,"49,167",
Huntersville,North Carolina,"46,773",
Kannapolis,North Carolina,"42,625",
Hickory,North Carolina,"40,010",
Apex,North Carolina,"37,476",
Goldsboro,North Carolina,"36,437",
Salisbury,North Carolina,"33,662",
Indian Trail,North Carolina,"33,518",
Monroe,North Carolina,"32,797",
Mooresville,North Carolina,"32,711",
Wake Forest,North Carolina,"30,117",
Fargo,North Dakota,"105,549",
Bismarck,North Dakota,"61,272",
Grand Forks,North Dakota,"52,838",
Minot,North Dakota,"40,888",
Columbus,Ohio,"787,033",
Cleveland,Ohio,"396,815",
Cincinnati,Ohio,"296,943",
Toledo,Ohio,"287,208",
Akron,Ohio,"199,110",
Dayton,Ohio,"141,527",
Parma,Ohio,"81,601",
Canton,Ohio,"73,007",
Youngstown,Ohio,"66,982",
Lorain,Ohio,"64,097",
Hamilton,Ohio,"62,477",
Springfield,Ohio,"60,608",
Kettering,Ohio,"56,163",
Elyria,Ohio,"54,533",
Lakewood,Ohio,"52,131",
Cuyahoga Falls,Ohio,"49,652",
Euclid,Ohio,"48,920",
Middletown,Ohio,"48,694",
Mansfield,Ohio,"47,821",
Newark,Ohio,"47,573",
Mentor,Ohio,"47,159",
Cleveland Heights,Ohio,"46,121",
Beavercreek,Ohio,"45,193",
Strongsville,Ohio,"44,750",
Fairfield,Ohio,"42,510",
Dublin,Ohio,"41,751",
Warren,Ohio,"41,557",
Findlay,Ohio,"41,202",
Lancaster,Ohio,"38,780",
Lima,Ohio,"38,771",
Huber Heights,Ohio,"38,101",
Marion,Ohio,"36,837",
Westerville,Ohio,"36,120",
Reynoldsburg,Ohio,"35,893",
Grove City,Ohio,"35,575",
Boardman,Ohio,"35,376",
Stow,Ohio,"34,837",
Delaware,Ohio,"34,753",
Brunswick,Ohio,"34,255",
Upper Arlington,Ohio,"33,771",
Gahanna,Ohio,"33,248",
Westlake,Ohio,"32,729",
North Olmsted,Ohio,"32,718",
Fairborn,Ohio,"32,352",
Massillon,Ohio,"32,149",
Mason,Ohio,"30,712",
North Royalton,Ohio,"30,444",
Bowling Green,Ohio,"30,028",
Oklahoma City,Oklahoma,"579,999",
Tulsa,Oklahoma,"391,906",
Norman,Oklahoma,"110,925",
Broken Arrow,Oklahoma,"98,850",
Lawton,Oklahoma,"96,867",
Edmond,Oklahoma,"81,405",
Moore,Oklahoma,"55,081",
Midwest City,Oklahoma,"54,371",
Enid,Oklahoma,"49,379",
Stillwater,Oklahoma,"45,688",
Muskogee,Oklahoma,"39,223",
Bartlesville,Oklahoma,"35,750",
Portland,Oregon,"583,776",
Eugene,Oregon,"156,185",
Salem,Oregon,"154,637",
Gresham,Oregon,"105,594",
Hillsboro,Oregon,"91,611",
Beaverton,Oregon,"89,803",
Bend,Oregon,"76,639",
Medford,Oregon,"74,907",
Springfield,Oregon,"59,403",
Corvallis,Oregon,"54,462",
Albany,Oregon,"50,158",
Aloha,Oregon,"49,425",
Tigard,Oregon,"48,035",
Lake Oswego,Oregon,"36,619",
Keizer,Oregon,"36,478",
Grants Pass,Oregon,"34,533",
McMinnville,Oregon,"32,187",
Oregon City,Oregon,"31,859",
Philadelphia,Pennsylvania,"1,526,006",
Pittsburgh,Pennsylvania,"305,704",
Allentown,Pennsylvania,"118,032",
Erie,Pennsylvania,"101,786",
Reading,Pennsylvania,"88,082",
Scranton,Pennsylvania,"76,089",
Bethlehem,Pennsylvania,"74,982",
Lancaster,Pennsylvania,"59,322",
Levittown,Pennsylvania,"52,983",
Harrisburg,Pennsylvania,"49,528",
Altoona,Pennsylvania,"46,320",
York,Pennsylvania,"43,718",
State College,Pennsylvania,"42,034",
Wilkes-Barre,Pennsylvania,"41,498",
Norristown,Pennsylvania,"34,324",
Chester,Pennsylvania,"33,972",
Bethel Park,Pennsylvania,"32,313",
Providence,Rhode Island,"178,042",
Warwick,Rhode Island,"82,672",
Cranston,Rhode Island,"80,387",
Pawtucket,Rhode Island,"71,148",
East Providence,Rhode Island,"47,037",
Woonsocket,Rhode Island,"41,186",
Columbia,South Carolina,"129,272",
Charleston,South Carolina,"120,083",
North Charleston,South Carolina,"97,471",
Mount Pleasant,South Carolina,"67,843",
Rock Hill,South Carolina,"66,154",
Greenville,South Carolina,"58,409",
Summerville,South Carolina,"43,392",
Sumter,South Carolina,"40,524",
Hilton Head Island,South Carolina,"37,099",
Florence,South Carolina,"37,056",
Spartanburg,South Carolina,"37,013",
Goose Creek,South Carolina,"35,938",
Sioux Falls,South Dakota,"153,888",
Rapid City,South Dakota,"67,956",
Memphis,Tennessee,"646,889",
Nashville,Tennessee,"601,222",
Knoxville,Tennessee,"178,874",
Chattanooga,Tennessee,"167,674",
Clarksville,Tennessee,"132,929",
Murfreesboro,Tennessee,"108,755",
Jackson,Tennessee,"65,211",
Johnson City,Tennessee,"63,152",
Franklin,Tennessee,"62,487",
Bartlett,Tennessee,"54,613",
Hendersonville,Tennessee,"51,372",
Kingsport,Tennessee,"48,205",
Collierville,Tennessee,"43,965",
Cleveland,Tennessee,"41,285",
Smyrna,Tennessee,"39,974",
Germantown,Tennessee,"38,844",
Brentwood,Tennessee,"37,060",
Columbia,Tennessee,"34,681",
La Vergne,Tennessee,"32,588",
Cookeville,Tennessee,"30,435",
Gallatin,Tennessee,"30,278",
Houston,Texas,"2,099,451",
San Antonio,Texas,"1,327,407",
Dallas,Texas,"1,197,816",
Austin,Texas,"790,390",
Fort Worth,Texas,"741,206",
El Paso,Texas,"649,121",
Arlington,Texas,"365,438",
Corpus Christi,Texas,"305,215",
Plano,Texas,"259,841",
Laredo,Texas,"236,091",
Lubbock,Texas,"229,573",
Garland,Texas,"226,876",
Irving,Texas,"216,290",
Amarillo,Texas,"190,695",
Grand Prairie,Texas,"175,396",
Brownsville,Texas,"175,023",
Pasadena,Texas,"149,043",
Mesquite,Texas,"139,824",
McKinney,Texas,"131,117",
McAllen,Texas,"129,877",
Killeen,Texas,"127,921",
Waco,Texas,"124,805",
Carrollton,Texas,"119,097",
Beaumont,Texas,"118,296",
Abilene,Texas,"117,063",
Frisco,Texas,"116,989",
Denton,Texas,"113,383",
Midland,Texas,"111,147",
Wichita Falls,Texas,"104,553",
Odessa,Texas,"99,940",
Round Rock,Texas,"99,887",
Richardson,Texas,"99,223",
Tyler,Texas,"96,900",
Lewisville,Texas,"95,290",
College Station,Texas,"93,857",
The Woodlands,Texas,"93,847",
San Angelo,Texas,"93,200",
Pearland,Texas,"91,252",
Allen,Texas,"84,246",
League City,Texas,"83,560",
Longview,Texas,"80,455",
Sugar Land,Texas,"78,817",
Edinburg,Texas,"77,100",
Mission,Texas,"77,058",
Bryan,Texas,"76,201",
Baytown,Texas,"71,802",
Pharr,Texas,"70,400",
Missouri City,Texas,"67,358",
Temple,Texas,"66,102",
Atascocita,Texas,"65,844",
Harlingen,Texas,"64,849",
Flower Mound,Texas,"64,669",
North Richland Hills,Texas,"63,343",
Victoria,Texas,"62,592",
New Braunfels,Texas,"57,740",
Mansfield,Texas,"56,368",
Conroe,Texas,"56,207",
Rowlett,Texas,"56,199",
Spring,Texas,"54,298",
Port Arthur,Texas,"53,818",
Euless,Texas,"51,277",
DeSoto,Texas,"49,047",
Cedar Park,Texas,"48,937",
Galveston,Texas,"47,743",
Georgetown,Texas,"47,400",
Bedford,Texas,"46,979",
Pflugerville,Texas,"46,936",
Grapevine,Texas,"46,334",
Texas City,Texas,"45,099",
Cedar Hill,Texas,"45,028",
San Marcos,Texas,"44,894",
Haltom City,Texas,"42,409",
Wylie,Texas,"41,427",
Keller,Texas,"39,627",
Coppell,Texas,"38,659",
Huntsville,Texas,"38,548",
Duncanville,Texas,"38,524",
Sherman,Texas,"38,521",
Channelview,Texas,"38,289",
Rockwall,Texas,"37,490",
Hurst,Texas,"37,337",
Burleson,Texas,"36,690",
Mission Bend,Texas,"36,501",
Texarkana,Texas,"36,411",
Lancaster,Texas,"36,361",
The Colony,Texas,"36,328",
Friendswood,Texas,"35,805",
Weslaco,Texas,"35,670",
Del Rio,Texas,"35,591",
Lufkin,Texas,"35,067",
San Juan,Texas,"33,856",
La Porte,Texas,"33,800",
Nacogdoches,Texas,"32,996",
Copperas Cove,Texas,"32,032",
Socorro,Texas,"32,013",
Deer Park,Texas,"32,010",
Schertz,Texas,"31,465",
Rosenberg,Texas,"30,618",
Salt Lake City,Utah,"186,440",
West Valley City,Utah,"129,480",
Provo,Utah,"112,488",
West Jordan,Utah,"103,712",
Orem,Utah,"88,328",
Sandy,Utah,"87,461",
Ogden,Utah,"82,825",
St. George,Utah,"72,897",
Layton,Utah,"67,311",
Millcreek,Utah,"62,139",
Taylorsville,Utah,"58,652",
South Jordan,Utah,"50,418",
Logan,Utah,"48,174",
Lehi,Utah,"47,407",
Murray,Utah,"46,746",
Bountiful,Utah,"42,552",
Draper,Utah,"42,274",
Riverton,Utah,"38,753",
Roy,Utah,"36,884",
Kearns,Utah,"35,731",
Spanish Fork,Utah,"34,691",
Pleasant Grove,Utah,"33,509",
Cottonwood Heights,Utah,"33,433",
Tooele,Utah,"31,605",
Clearfield,Utah,"30,112",
Burlington,Vermont,"42,417",
Virginia Beach,Virginia,"437,994",
Norfolk,Virginia,"242,803",
Chesapeake,Virginia,"222,209",
Arlington,Virginia,"207,627",
Richmond,Virginia,"204,214",
Newport News,Virginia,"180,719",
Alexandria,Virginia,"139,966",
Hampton,Virginia,"137,436",
Roanoke,Virginia,"97,032",
Portsmouth,Virginia,"95,535",
Suffolk,Virginia,"84,585",
Lynchburg,Virginia,"75,568",
Centreville,Virginia,"71,135",
Dale,Virginia,"65,969",
Reston,Virginia,"58,404",
Harrisonburg,Virginia,"48,914",
McLean,Virginia,"48,115",
Tuckahoe,Virginia,"44,990",
Ashburn,Virginia,"43,511",
Charlottesville,Virginia,"43,475",
Danville,Virginia,"43,055",
Blacksburg,Virginia,"42,620",
Leesburg,Virginia,"42,616",
Lake Ridge,Virginia,"41,058",
Burke,Virginia,"41,055",
Annandale,Virginia,"41,008",
Manassas,Virginia,"37,821",
Mechanicsville,Virginia,"36,348",
Linton Hall,Virginia,"35,725",
Marumsco,Virginia,"35,036",
Oakton,Virginia,"34,166",
Petersburg,Virginia,"32,420",
Springfield,Virginia,"30,484",
Fair Oaks,Virginia,"30,223",
Seattle,Washington,"608,660",
Spokane,Washington,"208,916",
Tacoma,Washington,"198,397",
Vancouver,Washington,"161,791",
Bellevue,Washington,"122,363",
Everett,Washington,"103,019",
Kent,Washington,"92,411",
Yakima,Washington,"91,067",
Renton,Washington,"90,927",
Spokane Valley,Washington,"89,755",
Federal Way,Washington,"89,306",
Bellingham,Washington,"80,885",
Kennewick,Washington,"73,917",
Auburn,Washington,"70,180",
Marysville,Washington,"60,020",
Pasco,Washington,"59,781",
Lakewood,Washington,"58,163",
Redmond,Washington,"54,144",
Shoreline,Washington,"53,007",
South Hill,Washington,"52,431",
Kirkland,Washington,"48,787",
Richland,Washington,"48,058",
Olympia,Washington,"46,478",
Sammamish,Washington,"45,780",
Lacey,Washington,"42,393",
Edmonds,Washington,"39,709",
Bremerton,Washington,"37,729",
Puyallup,Washington,"37,022",
Longview,Washington,"36,648",
Lynnwood,Washington,"35,836",
Parkland,Washington,"35,803",
Bothell,Washington,"33,505",
Burien,Washington,"33,313",
Wenatchee,Washington,"31,925",
Mount Vernon,Washington,"31,743",
Walla Walla,Washington,"31,731",
University Place,Washington,"31,144",
Issaquah,Washington,"30,434",
Charleston,West Virginia,"51,400",
Huntington,West Virginia,"49,138",
Parkersburg,West Virginia,"31,492",
Milwaukee,Wisconsin,"594,833",
Madison,Wisconsin,"233,209",
Green Bay,Wisconsin,"104,057",
Kenosha,Wisconsin,"99,218",
Racine,Wisconsin,"78,860",
Appleton,Wisconsin,"72,623",
Waukesha,Wisconsin,"70,718",
Oshkosh,Wisconsin,"66,083",
Eau Claire,Wisconsin,"65,883",
Janesville,Wisconsin,"63,575",
West Allis,Wisconsin,"60,411",
La Crosse,Wisconsin,"51,320",
Sheboygan,Wisconsin,"49,288",
Wauwatosa,Wisconsin,"46,396",
Fond du Lac,Wisconsin,"43,021",
New Berlin,Wisconsin,"39,584",
Wausau,Wisconsin,"39,106",
Brookfield,Wisconsin,"37,920",
Beloit,Wisconsin,"36,966",
Greenfield,Wisconsin,"36,720",
Menomonee Falls,Wisconsin,"35,626",
Franklin,Wisconsin,"35,451",
Oak Creek,Wisconsin,"34,451",
Manitowoc,Wisconsin,"33,736",
West Bend,Wisconsin,"31,078",
Cheyenne,Wyoming,"59,466",
Casper,Wyoming,"55,316",
Laramie,Wyoming,"30,816",